관리번호,횡단보도폭,횡단보도길이,관할지역
2022120584,11.72,13.15,관양2동
2022120585,9.33,29.18,관양2동
2022120586,6.83,16.94,관양2동
2022120587,8.89,34.55,관양2동
2022120588,3.83,8.88,평안동
2022120589,6.25,10.85,관양2동
2022120590,7.54,14.41,관양2동
2022120591,9.11,11.22,관양2동
2022120592,9.34,11.48,관양2동
2022120593,9.34,11.58,관양2동
2022120594,8.74,17.96,관양2동
2022120595,10.5,11.5,관양2동
2022120596,11.15,16.68,관양2동
2022120597,9.29,11.17,관양2동
2022120598,10.57,14.34,관양2동
2022120599,10.53,14.3,관양2동
2022120600,9.46,11.49,관양2동
2022120601,10.6,13.94,관양2동
2022120602,12.07,16.6,관양2동
2022120603,10.32,13.79,관양2동
2022120604,11.38,15.79,관양2동
2022120605,5.52,8.95,부림동
2022120606,4.58,7.08,부림동
2022120607,6.71,8.66,부림동
2022120608,5.41,9.6,관양2동
2022120609,2.91,3.61,관양2동
2022120610,4.11,6.35,관양2동
2022120611,5.01,5.88,부림동
2022120612,6.37,7.82,부림동
2022120613,6.66,8.77,부림동
2022120614,3.13,3.98,부림동
2022120615,7.18,9.44,부림동
2022120616,8.72,11.46,부림동
2022120617,26.28,26.45,부림동
2022120618,2.21,3.53,부림동
2022120619,4.55,7.07,부림동
2022120620,22.54,29.03,관양2동
2022120621,5.15,6.57,관양2동
2022120622,10.1,13.78,관양2동
2022120623,10.35,14.06,관양2동
2022120624,10.61,14.28,관양2동
2022120625,3.48,4.61,관양2동
2022120626,13.44,18.95,부림동
2022120627,15.71,19.53,관양2동
2022120628,14.79,19.41,관양2동
2022120629,5.84,8.73,부림동
2022120630,12.28,17.79,부림동
2022120631,8.53,13,부림동
2022120632,9.55,11.92,부림동
2022120633,4.46,5.43,부림동
2022120634,7.71,10.36,부림동
2022120635,4.17,6.29,부림동
2022120636,9.63,18.68,평안동
2022120637,6.89,8.64,평안동
2022120638,16.95,29.61,관양2동
2022120639,10.66,24.43,관양2동
2022120640,18.07,28.88,부림동
2022120641,5.85,7.95,부림동
2022120642,11.82,16.81,부림동
2022120643,6.3,7.11,부림동
2022120644,12.81,17.26,부림동
2022120645,12.85,18.14,부림동
2022120646,15.36,19.56,부림동
2022120647,14.45,19.23,관양2동
2022120648,11.13,15.17,부림동
2022120649,14.83,21.12,관양2동
2022120650,10.89,14.88,관양2동
2022120651,3.23,10.23,평안동
2022120652,7.72,10.49,부림동
2022120653,4.72,7.37,관양2동
2022120654,6.27,9.64,관양2동
2022120655,5.06,8,관양2동
2022120656,9.21,11.27,관양2동
2022120657,10.01,13.43,관양2동
2022120658,12.41,15.19,부림동
2022120659,6.38,7.48,부림동
2022120660,5.53,7.4,부림동
2022120661,6.93,10.86,부림동
2022120662,6.45,9.77,부림동
2022120663,4.85,6.45,부림동
2022120664,14.35,20.78,부림동
2022121040,6.34,7.69,안양9동
2022121041,6.47,6.95,안양9동
2022121042,5.86,8.07,안양9동
2022121043,4.68,8.13,안양9동
2022121044,11.63,11.84,부흥동
2022121045,14.9,14.9,부흥동
2022121046,8.94,9.17,부흥동
2022121047,14.25,14.3,부흥동
2022121048,6.6,6.6,부흥동
2022121049,6.01,8.01,부흥동
2022121050,14.86,15.18,부흥동
2022121051,6.5,6.53,부흥동
2022121052,17.6,17.64,부흥동
2022121053,10.51,10.67,부흥동
2022121054,5.13,5.21,부흥동
2022121055,15.62,15.73,부흥동
2022121056,8.24,8.27,부흥동
2022121057,6.24,6.44,부흥동
2022121058,9.68,9.87,부흥동
2022121059,10.76,11.29,부흥동
2022121060,8.18,8.42,부흥동
2022121061,16.43,16.48,부흥동
2022121062,9.78,9.81,부흥동
2022121063,6.46,9.42,달안동
2022121064,14.4,17.59,달안동
2022120690,11.98,16.82,달안동
2022120691,8.34,14.1,부림동
2022120692,6.33,10.8,부림동
2022120693,18.97,29.16,부림동
2022120694,5.88,7.43,호계1동
2022120695,7.35,7.95,호계1동
2022120696,5.05,7.9,호계1동
2022120697,8.02,8.42,호계1동
2022120698,16.05,34.03,호계1동
2022120699,16.65,27.33,호계1동
2022120700,7.97,10.7,호계1동
2022120701,6.87,15.69,안양8동
2022120702,14.22,16,호계1동
2022120703,8.52,9.13,호계1동
2022120704,3.13,3.96,호계1동
2022120705,3.86,5.24,호계1동
2022120706,5.65,11.78,호계1동
2022120707,10.03,12.63,호계1동
2022120708,8.67,11.5,호계1동
2022120709,9.72,10.62,호계1동
2022120710,15.04,15.63,호계1동
2022120711,9.41,11.46,호계1동
2022120712,17.7,23.23,안양8동
2022120713,8.31,10.02,호계1동
2022120714,19.5,21,호계1동
2022120715,7.42,9.1,호계1동
2022120716,6.3,6.44,호계1동
2022120717,6.79,7.22,호계1동
2022120718,6.76,6.89,호계1동
2022120719,9.56,12.13,호계1동
2022120720,6.71,7.72,호계1동
2022120721,8.89,10.19,호계1동
2022120722,9.54,11.77,호계1동
2022120723,6.58,7.04,호계1동
2022120724,8.05,8.47,호계1동
2022120725,8.74,9.43,호계1동
2022120726,6.71,6.98,호계1동
2022120727,6.29,6.39,호계1동
2022120728,0.62,1.27,안양8동
2022120729,12.09,13.06,호계1동
2022120730,11.06,12.18,안양8동
2022120731,7.14,7.63,호계1동
2022120732,7.15,7.86,호계1동
2022120733,20.87,24,호계1동
2022120734,17.76,19.06,호계1동
2022120735,19.15,21.44,호계1동
2022120736,5.46,6.21,안양9동
2022120737,2.75,10.54,호계2동
2022120738,2.65,4.29,호계2동
2022120739,4.01,5.79,호계2동
2022120740,8.96,9.29,안양8동
2022120741,5.2,5.22,호계2동
2022120742,8.35,9.07,호계1동
2022120743,9.39,9.89,호계1동
2022120744,15.43,16.53,안양8동
2022120745,4.9,6.72,안양8동
2022120746,22.72,23.02,안양8동
2022120747,12.03,19.38,안양8동
2022120748,9.63,10.32,안양8동
2022120749,9.03,12.65,안양8동
2022120750,8.29,10.01,안양8동
2022120751,10.13,11.03,안양8동
2022120752,3.77,5.64,호계2동
2022120753,17.79,18.04,안양8동
2022120754,6.18,7.48,안양8동
2022120755,4.67,6.89,안양8동
2022120756,4.61,6.31,안양8동
2022120757,5.06,5.87,안양8동
2022120758,8.31,8.73,안양8동
2022120759,5.62,5.73,안양8동
2022120760,6.37,6.56,안양8동
2022120761,8.27,9.35,안양7동
